Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.586148E-02,2.090152E+03,3.448996E-01,3.751085E+03,5.167632E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.584471E+03,2.229127E-01,2.413139E+03,3.605146E+03,1.691586E-01,7.072845E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.399283E+02,1.412484E-01,1.532135E+03,2.258220E+03,1.002246E-01,4.192162E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.584471E+03,2.179366E-01,2.357579E+03,3.549943E+03,1.692767E-01,7.076283E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.399283E+02,1.579751E-01,1.718880E+03,2.459868E+03,1.011113E-01,4.217905E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:20:00,7.586148E-02,2.097241E+03,3.443498E-01,3.737856E+03,5.153954E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.589845E+03,2.214169E-01,2.391065E+03,3.581430E+03,1.691486E-01,7.072553E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.431164E+02,1.401962E-01,1.517200E+03,2.242188E+03,1.002193E-01,4.192009E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.589845E+03,2.164262E-01,2.335342E+03,3.525983E+03,1.692667E-01,7.075994E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.431164E+02,1.564815E-01,1.699016E+03,2.438728E+03,1.011060E-01,4.217753E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:30:00,7.586148E-02,2.104331E+03,3.438083E-01,3.724721E+03,5.140372E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.595219E+03,2.199473E-01,2.369283E+03,3.558007E+03,1.691386E-01,7.072263E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.463044E+02,1.391626E-01,1.502472E+03,2.226364E+03,1.002141E-01,4.191857E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.595219E+03,2.149488E-01,2.313474E+03,3.502400E+03,1.692568E-01,7.075707E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.463044E+02,1.550357E-01,1.679687E+03,2.418139E+03,1.011008E-01,4.217601E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:40:00,7.586148E-02,2.111420E+03,3.432746E-01,3.711672E+03,5.126879E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.600593E+03,2.185041E-01,2.347797E+03,3.534885E+03,1.691287E-01,7.071975E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.494925E+02,1.381474E-01,1.487949E+03,2.210749E+03,1.002089E-01,4.191706E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.600593E+03,2.135030E-01,2.291959E+03,3.479181E+03,1.692470E-01,7.075423E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.494925E+02,1.536323E-01,1.660830E+03,2.398036E+03,1.010956E-01,4.217450E+03,3.411443E-02,0.000000E+00,0.000000E+00
00:50:00,7.586148E-02,2.118510E+03,3.427479E-01,3.698703E+03,5.113467E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.605967E+03,2.170868E-01,2.326599E+03,3.512063E+03,1.691188E-01,7.071690E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.526805E+02,1.371500E-01,1.473626E+03,2.195342E+03,1.002037E-01,4.191556E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.605967E+03,2.120877E-01,2.270783E+03,3.456319E+03,1.692373E-01,7.075140E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.526805E+02,1.522667E-01,1.642396E+03,2.378367E+03,1.010905E-01,4.217301E+03,3.411443E-02,0.000000E+00,0.000000E+00
01:00:00,7.586148E-02,2.125599E+03,3.422278E-01,3.685806E+03,5.100128E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.611342E+03,2.156949E-01,2.305685E+03,3.489542E+03,1.691091E-01,7.071406E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.558686E+02,1.361704E-01,1.459501E+03,2.180141E+03,1.001986E-01,4.191407E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.611342E+03,2.107018E-01,2.249936E+03,3.433803E+03,1.692276E-01,7.074859E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.558686E+02,1.509381E-01,1.624375E+03,2.359126E+03,1.010854E-01,4.217152E+03,3.411443E-02,0.000000E+00,0.000000E+00
01:10:00,7.586148E-02,2.130325E+03,3.417274E-01,3.675493E+03,5.089452E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.614924E+03,2.143440E-01,2.287020E+03,3.469380E+03,1.691101E-01,7.071436E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.579940E+02,1.352162E-01,1.446723E+03,2.166350E+03,1.001992E-01,4.191424E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.614924E+03,2.093598E-01,2.231371E+03,3.413684E+03,1.692287E-01,7.074890E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.579940E+02,1.496535E-01,1.607908E+03,2.341508E+03,1.010860E-01,4.217170E+03,3.411443E-02,0.000000E+00,0.000000E+00
01:20:00,7.586148E-02,2.135051E+03,3.412327E-01,3.665243E+03,5.078842E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.618507E+03,2.130275E-01,2.268739E+03,3.449627E+03,1.691111E-01,7.071466E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.601193E+02,1.342845E-01,1.434196E+03,2.152822E+03,1.001998E-01,4.191441E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.618507E+03,2.080547E-01,2.213218E+03,3.394005E+03,1.692297E-01,7.074919E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.601193E+02,1.484080E-01,1.591878E+03,2.324343E+03,1.010865E-01,4.217187E+03,3.411443E-02,0.000000E+00,0.000000E+00
01:30:00,7.586148E-02,2.139778E+03,3.407434E-01,3.655054E+03,5.068293E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.622090E+03,2.117453E-01,2.250842E+03,3.430270E+03,1.691121E-01,7.071495E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.622447E+02,1.333752E-01,1.421918E+03,2.139550E+03,1.002004E-01,4.191458E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.622090E+03,2.067862E-01,2.195472E+03,3.374751E+03,1.692307E-01,7.074949E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.622447E+02,1.472001E-01,1.576266E+03,2.307608E+03,1.010871E-01,4.217203E+03,3.411443E-02,0.000000E+00,0.000000E+00
01:40:00,7.586148E-02,2.144504E+03,3.402593E-01,3.644923E+03,5.057805E+03,7.586148E-02,5.054053E+03,7.586148E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.625673E+03,2.104974E-01,2.233326E+03,3.411315E+03,1.691131E-01,7.071524E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.643701E+02,1.324881E-01,1.409889E+03,2.126537E+03,1.002009E-01,4.191474E+03,3.411443E-02,0.000000E+00,0.000000E+00,5.750791E-02,1.625673E+03,2.055539E-01,2.178131E+03,3.355924E+03,1.692317E-01,7.074978E+03,5.750791E-02,0.000000E+00,0.000000E+00,3.411443E-02,9.643701E+02,1.460283E-01,1.561059E+03,2.291292E+03,1.010877E-01,4.217220E+03,3.411443E-02,0.000000E+00,0.000000E+00
